posto,id
Camargos,001 
Itutinga,002 
Furnas,006 
MascMoraes,007 
Estreito,008 
Jaguara,009 
Igarapava,010 
VoltaGrande,011 
PColombia,012 
Caconde,014 
ECunha,015 
Limoeiro,016 
Marimbondo,017 
AVermelha,018 
FunilGrande,211
Batalha,022
CorumbaIII,023
Emborcacao,024 
NovaPonte,025
CapimBranco2,028
Itumbiara,031
CachDourada,032
SaoSimao,033
CorumbaIV,205 
Miranda,206 
CapimBranco1,207
CorumbaI,209
SerraFacao,251
Guarapiranga,117
Billings.Pedra,119
PonteNova,160
ES.Pinheiros,161 
BarraBonita,237
Bariri,238
Ibitinga,239
Promissao,240 
NAvanhandava,242
Jurumirim,047
Piraju,048
Chavantes,049
SaltoGrande,050
Canoas2,051 
Canoas1,052
Maua,057
Capivara,061
Taquarucu,062
Rosana,063
Ourinhos,249
RetiroBaixo,155
TresMarias,156
Queimado,158
SerraMesa,270
SantaClara,071
Fundao,072
Jordao,073
GBMunhoz,074
Segredo,076 
SaltoSantiago,077
SaltoOsorio,078
SaltoCaxias,222
Segredo.Jordao,976
Garibaldi,089
Ita,092
PassoFundo,093
FozChapeco,094
SaoJose,102 
PassoSaoJoao,103 
BarraGrande,215 
CamposNovos,216 
Machadinho,217 
Monjolinho,220 
QuebraQueixo,286
Itaipu,266
Espora,099
Salto,294
FozClaro,261
SDomingo,154
Jupia,245
Solteira,034
Tres_irmaos,243
Cacu,247
Coqueiros,248
Verdinho,241
Ppri,246


















